PROD, Book Title,Author Name,Total Pages,Quantity,ISBN - 13 digits number,Published Year and date,price
lib1,Opening Spaces: An Anthology of Contemporary African Women's Writing,Yvonne Vera,186,3,9.78E+12,Mar-05,$14.52
lib2,The Caine Prize for African Writing 2010: 11th Annual Collection,The Caine Prize for African Writing,208,5,9.78E+12,Jul-05,$13.46
lib3,African Folktales,Roger D. Abrahams,,2,9.78E+12,Aug-83,$18.95
lib4,Unchained Voices: An Anthology of Black Authors in the English-Speaking World of the Eighteenth Century,Vincent Carretta,416,5,9.78E+12,Dec-03,$30.00
lib5,Women Writing Africa: West Africa and the Sahel,Esi Sutherland-Addy,560,3,9.78E+12,Aug-05,$29.95
lib6,"10 Years of the Caine Prize for African Writing: Plus Coetzee, Gordimer, Achebe, Okri",The Caine The Caine Prize for African Writing,,4,9.78E+12,Sep-09,$18.95
lib7,Introduction to African Oral Literature and Performance,Bayo Ogunjimi,146,2,9.78E+12,Feb-06,$23.95
lib8,Violence in Francophone African and Caribbean Women's Literature,Marie-Chantal Kalisa,236,5,9.78E+12,Dec-09,$45.00
lib9,Oral Epics from Africa,John William Johnson,,5,9.78E+12,Mar-08,$24.95
lib10,African Fundamentalism: A Literary and Cultural Anthology of Garvey's Harlem Renaissance,Tony Martin,363,4,9.78E+12,Oct-91,$14.95
lib11,Land Apart: A South African Reader,Various,256,2,9.78E+12,Jun-87,$12.71
lib12,Women Writing Africa: The Eastern Region,Amandina Lihamba,,4,9.78E+12,Feb-07,$29.95
lib13,Nobody Ever Said AIDS: Poems and Stories from Southern Africa,Nobantu Rasebotsa,192,4,9.78E+12,Mar-10,$22.13
lib14,Step into a World: A Global Anthology of the New Black Literature,Kevin Powell,496,4,9.78E+12,Oct-00,$26.31
lib15,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,Werner Sollors,,4,9.78E+12,Feb-04,$22.13
lib16,The Caine Prize 2009: The Caine Prize for African Writing 10th Annual Collection,New Internationalist,214,4,9.78E+12,Jul-09,$16.24
lib17,"Traditions in World Literature: Literature of Africa, Softcover Student Edition",McGraw-Hill,320,4,9.78E+12,Jan-99,$7.55
lib18,Love Child,Gcina Mhlophe,124,4,9.78E+12,Mar-02,$8.97
lib19,Seventh Street Alchemy 2004: A Selection of Works from the Caine Prize for African Writing,Jacana Media,228,4,9.78E+12,Jun-06,$25.13
lib20,Women Writing Africa: The Southern Region: Volume 1,Sheila Meintjes,560,4,9.78E+12,Dec-02,$1.99
lib21,Of Suffocated Hearts and Tortured Souls: Seeking Subjecthood through Madness in Francophone Women's,ValZrie Orlando,218,4,9.78E+12,Dec-02,$82.00
lib22,Less Than One and Double: A Feminist Reading of African Women's Writing,Kenneth W. Harrow,384,4,9.78E+12,Nov-01,$116.43
lib23,The Rienner Anthology of African Literature,Anthonia C. Kalu,900,4,9.78E+12,Apr-07,$30.39
lib24,Oral and Written Expressions of African Cultures,Toyin Falola,264,4,9.78E+12,Mar-09,$26.88
lib25,Jambula Tree and other stories: The Caine Prize for African Writing 8th Annual Collection,Monica Arac de Nyeko,214,4,9.78E+12,Jul-08,$16.18
lib26,Up the Down Escalator,Linda Rode,,4,9.78E+12,Mar-10,$10.95
lib27,Basali!: Stories by and about Women in Lesotho,K. Limakatso Kendall,136,4,9.78E+12,Feb-95,$24.44
lib28,How God Fix Jonah,Lorenz Graham,160,4,9.78E+12,Oct-00,$16.15
lib29,Glass Jars among Trees,Arja Salafranca,188,4,9.78E+12,Apr-05,$44.59
lib30,Running Towards Us: New Writing from South Africa,Isabel Balseiro,216,4,9.78E+12,May-00,$33.63
lib31,Of Suffocated Hearts And Tortured Souls,Valerie Key Orlando,,4,9.78E+12,Dec-02,$27.95
lib32,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,Werner Sollors,,4,9.78E+12,Feb-04,
lib33,Among the Blacks,Ron Padgett,64,4,9.78E+12,Oct-88,$14.00
lib34,The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,Jon Stewart,244,4,9.78E+12,Sep-10,$1.99
lib35,The Best American Nonrequired Reading 2010,Dave Eggers,484,4,9.78E+12,Oct-10,$11.17
lib36,The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,Jon Stewart,,4,9.78E+12,Oct-10,$24.98
lib37,100 Best-Loved Poems,Philip Smith,96,4,9.78E+12,May-95,$1.80
lib38,"The Norton Anthology of American Literature, Shorter Seventh Edition, One-Volume Paperback",Wayne Franklin,3008,4,9.78E+12,Jul-07,$63.03
lib39,The Best American Poetry 2009,David Wagoner,,4,9.78E+12,Sep-09,
lib40,The Oxford Book of American Short Stories,Joyce Carol Oates,,4,9.78E+12,Sep-94,$19.95
lib41,The Best American Essays 2009,Mary Oliver,224,4,9.78E+12,Oct-09,$13.56
lib42,"The Norton Anthology of American Literature, Package 2: Volumes C, D, and E",Jerome Klinkowitz,2870,4,9.78E+12,Apr-07,$20.00
lib43,Early African American Classics (Barnes &amp; Noble Classics Series),Barnes &amp; Noble,,4,9.78E+12,Oct-08,$24.95
lib44,"African-American Poetry: An Anthology, 1773-1930",Joan R. Sherman,96,4,9.78E+12,Jul-97,$1.80
lib45,Couldn't Keep It to Myself: Testimonies from Our Imprisoned Sisters,Wally Lamb,368,4,9.78E+12,Feb-04,$10.59
lib46,"The Norton Anthology of Poetry, Shorter 5th Edition",Margaret Ferguson,1424,4,9.78E+12,Dec-04,$58.69
lib47,The Best American Poetry 2010,Amy Gerstler,229,4,9.78E+12,Sep-10,$13.87
lib48,"Classic Slave Narratives: The Life of Olaudah Equiano, The History of Mary Prince, Narrative of the Life of Frederick Douglass, Incidents in the Life of a Slave Girl",Henry Louis Gates Jr.,688,4,9.78E+12,Jan-02,$1.99
lib49,The Best American Nonrequired Reading 2009,Dave Eggers,432,4,9.78E+12,Oct-09,$14.39
lib50,In Fact: The Best of Creative Nonfiction,Lee Gutkind,480,4,9.78E+12,Nov-04,$15.24
lib51,The Best American Essays of the Century,Joyce Carol Oates,624,4,9.78E+12,Oct-01,$14.84
